,heatingType,newlyConst,balcony,pricetrend,yearConstructed,hasKitchen,cellar,livingSpace,condition,interiorQual,petsAllowed,lift,typeOfFlat,geo_plz,noRooms,thermalChar,floor,garden,city,SizePerRoom
131074,unknown,False,True,7.65,1987.0,False,False,81.49,unknown,unknown,unknown,False,apartment,12689,4.0,68.0,6.0,False,Berlin,20.3725
59850,floor_heating,True,True,5.69,2018.0,True,False,53.36,first_time_use,sophisticated,negotiable,True,apartment,60528,2.0,69.0,1.0,False,Frankfurt_am_Main,26.68
44616,central_heating,False,False,3.47,1912.0,False,True,88.0,well_kept,sophisticated,no,False,ground_floor,67459,3.0,105.0,1.0,True,Rhein_Pfalz_Kreis,29.333333333333332
196523,self_contained_central_heating,False,True,4.05,1930.0,False,True,54.0,fully_renovated,normal,negotiable,False,apartment,19053,2.0,112.7,2.0,True,Schwerin,27.0
262737,gas_heating,False,False,1.26,2000.0,False,False,61.0,well_kept,normal,unknown,False,unknown,39261,2.0,77.3,1.0,False,Anhalt_Bitterfeld_Kreis,30.5
107500,floor_heating,False,True,4.16,2017.0,True,True,90.66,first_time_use,sophisticated,negotiable,True,ground_floor,1457,3.0,61.8,0.0,False,Leipzig,30.22
177963,central_heating,False,True,7.35,1895.0,True,True,102.0,first_time_use_after_refurbishment,luxury,negotiable,False,roof_storey,10365,3.0,209.5,2.0,True,Berlin,34.0
212133,central_heating,False,True,2.39,1953.0,False,True,61.76,unknown,unknown,unknown,False,apartment,45899,3.0,134.0,1.0,False,Gelsenkirchen,20.586666666666666
253825,central_heating,False,True,0.0,1997.0,False,True,65.4,fully_renovated,normal,negotiable,False,roof_storey,8371,2.0,104.4,3.0,False,Zwickau_Kreis,32.7
16773,floor_heating,False,True,4.22,2008.0,True,True,128.0,mint_condition,sophisticated,no,True,ground_floor,82541,3.0,20.0,0.0,True,Bad_Tölz_Wolfratshausen_Kreis,42.666666666666664
231043,unknown,False,True,5.06,2004.0,False,True,55.82,well_kept,unknown,negotiable,False,ground_floor,49080,1.0,66.0,0.0,False,Osnabrück,55.82
36404,central_heating,False,True,3.96,1970.0,True,True,37.21,unknown,unknown,unknown,True,ground_floor,65428,1.5,161.6,0.0,False,Groß_Gerau_Kreis,24.80666666666667
33196,central_heating,False,False,2.35,1960.0,False,True,42.75,first_time_use_after_refurbishment,normal,negotiable,False,roof_storey,2994,2.0,75.0,2.0,False,Bautzen_Kreis,21.375
66614,district_heating,False,False,0.98,1984.0,False,True,59.0,fully_renovated,unknown,yes,False,apartment,4720,3.0,58.2,3.0,False,Mittelsachsen_Kreis,19.666666666666668
29967,unknown,False,False,2.27,2000.0,False,False,64.07,well_kept,unknown,negotiable,False,roof_storey,8056,2.0,102.0,3.0,False,Zwickau,32.035
